id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category
1,Name_103,77.0,60000.0,2020-12-19,Marketing,8412.0,"Street 63, City 15",9310477531.0,email_970@example.com,18,medium
2,Name_436,62.0,50000.0,2020-06-04,Marketing,5493.0,"Street 16, City 37",7798851359.0,email_314@example.com,18,low
3,Name_861,61.0,60000.0,2022-08-19,HR,,"Street 55, City 36",4081836369.0,email_674@example.com,18,medium
4,Name_271,36.0,70000.0,,Unknown,1687.0,"Street 64, City 14",5782357698.0,email_443@example.com,18,medium
5,Name_107,78.0,60000.0,2017-09-12,IT,4143.0,"Street 22, City 44",4360871854.0,email_455@example.com,18,medium
6,Name_72,35.0,60000.0,2024-02-11,IT,2126.0,"Street 57, City 1",6157251439.0,email_343@example.com,17,medium
7,Name_701,73.0,60000.0,2017-11-03,Finance,5022.0,"Street 38, City 39",3853731636.0,email_874@example.com,18,medium
8,Name_21,18.0,60000.0,2017-02-20,IT,2067.0,"Street 63, City 11",8123526066.0,email_104@example.com,18,medium
9,Name_615,42.0,50000.0,2016-09-20,IT,7827.0,"Street 48, City 48",7846360315.0,email_527@example.com,18,low
10,Name_122,44.0,50000.0,2017-03-09,HR,5589.0,"Street 22, City 39",5673622087.0,email_784@example.com,18,low
11,Name_467,24.0,70000.0,2017-06-26,Finance,9011.0,,,,3,medium
12,Name_215,61.0,60000.0,2022-09-03,IT,6675.0,"Street 45, City 15",6502402349.0,email_573@example.com,18,medium
13,Name_331,59.0,70000.0,2023-11-11,IT,,"Street 93, City 22",3151807490.0,email_52@example.com,18,medium
14,Name_459,46.0,60000.0,2022-06-01,Unknown,6380.0,"Street 13, City 26",5211566855.0,email_290@example.com,18,medium
15,Name_88,48.0,60000.0,2022-09-03,IT,3743.0,"Street 28, City 10",7103605237.0,email_626@example.com,18,medium
16,Name_373,61.0,60000.0,2024-09-29,HR,,"Street 80, City 31",7248139772.0,email_886@example.com,18,medium
17,Name_100,60.0,60000.0,2018-05-12,IT,9048.0,"Street 31, City 48",5074525292.0,email_640@example.com,18,medium
18,Name_872,53.0,60000.0,2020-04-20,IT,3206.0,"Street 87, City 6",5151927130.0,email_210@example.com,17,medium
19,Name_664,36.0,50000.0,,Marketing,4432.0,"Street 73, City 37",9214999573.0,email_727@example.com,18,low
